name,description,image_url,category
 The Fellowship of the Ring,J.R.R. Tolkien,https://images.gr-assets.com/books/1298411339m/34.jpg,book
Mockingjay,Suzanne Collins,https://images.gr-assets.com/books/1358275419m/7260188.jpg,book
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1387141547m/2.jpg,book
The Lovely Bones,Alice Sebold,https://images.gr-assets.com/books/1457810586m/12232938.jpg,book
Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1474169725m/15881.jpg,book
Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1361482611m/6.jpg,book
Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1474171184m/136251.jpg,book
The Da Vinci Code,Dan Brown,https://images.gr-assets.com/books/1303252999m/968.jpg,book
Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1361039191m/1.jpg,book
Lord of the Flies ,William Golding,https://images.gr-assets.com/books/1327869409m/7624.jpg,book
An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",https://images.gr-assets.com/books/1327872146m/18135.jpg,book
Gone Girl,Gillian Flynn,https://images.gr-assets.com/books/1339602131m/8442457.jpg,book
The Help,Kathryn Stockett,https://images.gr-assets.com/books/1346100365m/4667024.jpg,book
Of Mice and Men ,John Steinbeck,https://images.gr-assets.com/books/1437235233m/890.jpg,book
Memoirs of a Geisha,Arthur Golden,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Fifty Shades of Grey,E.L. James,https://images.gr-assets.com/books/1385207843m/10818853.jpg,book
O Alquimista,"Paulo Coelho, Alan R. Clarke",https://images.gr-assets.com/books/1483412266m/865.jpg,book
The Giver,Lois Lowry,https://images.gr-assets.com/books/1342493368m/3636.jpg,book
"The Lion, the Witch and the Wardrobe",C.S. Lewis,https://images.gr-assets.com/books/1353029077m/100915.jpg,book
The Time Traveler's Wife,Audrey Niffenegger,https://images.gr-assets.com/books/1437728815m/14050.jpg,book
A Game of Thrones,George R.R. Martin,https://images.gr-assets.com/books/1436732693m/13496.jpg,book
"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,https://images.gr-assets.com/books/1503066414m/19501.jpg,book
The Lightning Thief,Rick Riordan,https://images.gr-assets.com/books/1400602609m/28187.jpg,book
Little Women,Louisa May Alcott,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Jane Eyre,"Charlotte Brontë, Michael Mason",https://images.gr-assets.com/books/1327867269m/10210.jpg,book
The Notebook,Nicholas Sparks,https://images.gr-assets.com/books/1385738917m/15931.jpg,book
Life of Pi,Yann Martel,https://images.gr-assets.com/books/1320562005m/4214.jpg,book
Water for Elephants,Sara Gruen,https://images.gr-assets.com/books/1494428973m/43641.jpg,book
The Book Thief,Markus Zusak,https://images.gr-assets.com/books/1390053681m/19063.jpg,book
Fahrenheit 451,Ray Bradbury,https://images.gr-assets.com/books/1351643740m/4381.jpg,book
"New Moon (Twilight, #2)",Stephenie Meyer,https://images.gr-assets.com/books/1361039440m/49041.jpg,book
Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,https://images.gr-assets.com/books/1168052448m/30119.jpg,book
City of Bones,Cassandra Clare,https://images.gr-assets.com/books/1432730315m/256683.jpg,book
Eclipse,Stephenie Meyer,https://images.gr-assets.com/books/1361038355m/428263.jpg,book
Eragon,Christopher Paolini,https://images.gr-assets.com/books/1366212852m/113436.jpg,book
The Hitchhiker's Guide to the Galaxy,Douglas Adams,https://images.gr-assets.com/books/1327656754m/11.jpg,book
Brave New World,Aldous Huxley,https://images.gr-assets.com/books/1487389574m/5129.jpg,book
Breaking Dawn,Stephenie Meyer,https://images.gr-assets.com/books/1361039438m/1162543.jpg,book
The Secret Life of Bees,Sue Monk Kidd,https://images.gr-assets.com/books/1473454532m/37435.jpg,book
The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",https://images.gr-assets.com/books/1405973850m/2956.jpg,book
Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",https://images.gr-assets.com/books/1439632243m/24178.jpg,book
The Curious Incident of the Dog in the Night-Time,Mark Haddon,https://images.gr-assets.com/books/1479863624m/1618.jpg,book
The Girl on the Train,Paula Hawkins,https://images.gr-assets.com/books/1490903702m/22557272.jpg,book
Northern Lights,Philip Pullman,https://images.gr-assets.com/books/1451271747m/119322.jpg,book
Wuthering Heights,"Emily Brontë, Richard J. Dunn",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
My Sister's Keeper,Jodi Picoult,https://images.gr-assets.com/books/1369504683m/10917.jpg,book
"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Kurt Vonnegut Jr.,https://images.gr-assets.com/books/1440319389m/4981.jpg,book
Gone with the Wind,Margaret Mitchell,https://images.gr-assets.com/books/1328025229m/18405.jpg,book
A Thousand Splendid Suns,Khaled Hosseini,https://images.gr-assets.com/books/1345958969m/128029.jpg,book
The Perks of Being a Wallflower,Stephen Chbosky,https://images.gr-assets.com/books/1167352178m/22628.jpg,book
Insurgent,Veronica Roth,https://images.gr-assets.com/books/1325667729m/11735983.jpg,book
Ender's Game,Orson Scott Card,https://images.gr-assets.com/books/1408303130m/375802.jpg,book
"Frankenstein; or, The Modern Prometheus","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",https://images.gr-assets.com/books/1381512375m/18490.jpg,book
The Shining,Stephen King,https://images.gr-assets.com/books/1353277730m/11588.jpg,book
The Host,Stephenie Meyer,https://images.gr-assets.com/books/1318009171m/1656001.jpg,book
Looking for Alaska,John Green,https://images.gr-assets.com/books/1394798630m/99561.jpg,book
Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",https://images.gr-assets.com/books/1397245675m/14935.jpg,book
Holes,"Louis Sachar, Louis Sachar",https://images.gr-assets.com/books/1327781893m/38709.jpg,book
The Devil Wears Prada,Lauren Weisberger,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Ὀδύσσεια,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",https://images.gr-assets.com/books/1390173285m/1381.jpg,book
Le Petit Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",https://images.gr-assets.com/books/1367545443m/157993.jpg,book
The Glass Castle,Jeannette Walls,https://images.gr-assets.com/books/1400930557m/7445.jpg,book
Into the Wild,Jon Krakauer,https://images.gr-assets.com/books/1403173986m/1845.jpg,book
A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",https://images.gr-assets.com/books/1344922523m/1953.jpg,book
Jurassic Park,Michael Crichton,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
The Giving Tree,Shel Silverstein,https://images.gr-assets.com/books/1174210942m/370493.jpg,book
A Time to Kill,John Grisham,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel",https://images.gr-assets.com/books/1473495285m/1617.jpg,book
Paper Towns,John Green,https://images.gr-assets.com/books/1349013610m/6442769.jpg,book
The Princess Bride,William Goldman,https://images.gr-assets.com/books/1327903636m/21787.jpg,book
The Outsiders,S.E. Hinton,https://images.gr-assets.com/books/1442129426m/231804.jpg,book
The Maze Runner,James Dashner,https://images.gr-assets.com/books/1375596592m/6186357.jpg,book
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",https://images.gr-assets.com/books/1327909092m/1202.jpg,book
The Secret Garden,Frances Hodgson Burnett,https://images.gr-assets.com/books/1327873635m/2998.jpg,book
Cien años de soledad,"Gabriel García Márquez, Gregory Rabassa",https://images.gr-assets.com/books/1327881361m/320.jpg,book
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",https://images.gr-assets.com/books/1424596966m/5297.jpg,book
Fifty Shades Freed,E.L. James,https://images.gr-assets.com/books/1336418837m/13536860.jpg,book
Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",https://images.gr-assets.com/books/1387151694m/17245.jpg,book
Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",https://images.gr-assets.com/books/1351778881m/5060378.jpg,book
Fifty Shades Darker,E.L. James,https://images.gr-assets.com/books/1358266080m/11857408.jpg,book
The Poisonwood Bible,Barbara Kingsolver,https://images.gr-assets.com/books/1412242487m/7244.jpg,book
Me Talk Pretty One Day,David Sedaris,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Where the Wild Things Are,Maurice Sendak,https://images.gr-assets.com/books/1384434560m/19543.jpg,book
Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss",https://images.gr-assets.com/books/1309203605m/7126.jpg,book
The Road,Cormac McCarthy,https://images.gr-assets.com/books/1439197219m/6288.jpg,book
Allegiant,Veronica Roth,https://images.gr-assets.com/books/1395582745m/18710190.jpg,book
Bossypants,Tina Fey,https://images.gr-assets.com/books/1481509554m/9418327.jpg,book
A Walk to Remember,Nicholas Sparks,https://images.gr-assets.com/books/1385738968m/3473.jpg,book
Confessions of a Shopaholic,Sophie Kinsella,https://images.gr-assets.com/books/1327872404m/9416.jpg,book
Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",https://images.gr-assets.com/books/1411852091m/24280.jpg,book
A Clash of Kings,George R.R. Martin,https://images.gr-assets.com/books/1358254974m/10572.jpg,book
The Memory Keeper's Daughter,Kim Edwards,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Me Before You,Jojo Moyes,https://images.gr-assets.com/books/1357108762m/15507958.jpg,book
Catch-22,Joseph Heller,https://images.gr-assets.com/books/1463157317m/168668.jpg,book
Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",https://images.gr-assets.com/books/1423763749m/6900.jpg,book
Middlesex,Jeffrey Eugenides,https://images.gr-assets.com/books/1437029776m/2187.jpg,book
The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",https://images.gr-assets.com/books/1404811979m/24583.jpg,book
A Wrinkle in Time,Madeleine L'Engle,https://images.gr-assets.com/books/1329061522m/18131.jpg,book
The Joy Luck Club,Amy Tan,https://images.gr-assets.com/books/1304978653m/7763.jpg,book
The Handmaid's Tale,Margaret Atwood,https://images.gr-assets.com/books/1498057733m/38447.jpg,book
The Sisterhood of the Traveling Pants,Ann Brashares,https://images.gr-assets.com/books/1461611233m/452306.jpg,book
Lolita,"Vladimir Nabokov, Craig Raine",https://images.gr-assets.com/books/1377756377m/7604.jpg,book
Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith",https://images.gr-assets.com/books/1437733293m/37442.jpg,book
The Firm,John Grisham,https://images.gr-assets.com/books/1418465200m/5358.jpg,book
Room,Emma Donoghue,https://images.gr-assets.com/books/1344265419m/7937843.jpg,book
"The Tragicall Historie of Hamlet, Prince of Denmark","William Shakespeare, Richard Andrews, Rex Gibson",https://images.gr-assets.com/books/1351051208m/1420.jpg,book
Dune,Frank Herbert,https://images.gr-assets.com/books/1434908555m/234225.jpg,book
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,https://images.gr-assets.com/books/1473396980m/2612.jpg,book
Steve Jobs,Walter Isaacson,https://images.gr-assets.com/books/1327861368m/11084145.jpg,book
One Flew Over the Cuckoo's Nest,Ken Kesey,https://images.gr-assets.com/books/1485308778m/332613.jpg,book
The Old Man and the Sea,Ernest Hemingway,https://images.gr-assets.com/books/1329189714m/2165.jpg,book
The Grapes of Wrath,John Steinbeck,https://images.gr-assets.com/books/1352912927m/4395.jpg,book
The Five People You Meet in Heaven,Mitch Albom,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Anne of Green Gables,L.M. Montgomery,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
City of Glass,Cassandra Clare,https://images.gr-assets.com/books/1369452339m/3777732.jpg,book
A Storm of Swords,George R.R. Martin,https://images.gr-assets.com/books/1497931121m/62291.jpg,book
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,https://images.gr-assets.com/books/1408313524m/137791.jpg,book
Outlander,Diana Gabaldon,https://images.gr-assets.com/books/1402600310m/10964.jpg,book
The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",https://images.gr-assets.com/books/1404810944m/12296.jpg,book
Miss Peregrine’s Home for Peculiar Children,Ransom Riggs,https://images.gr-assets.com/books/1472782916m/9460487.jpg,book
Luftslottet som sprängdes,"Stieg Larsson, Reg Keeland",https://images.gr-assets.com/books/1327708260m/6892870.jpg,book
The Martian,Andy Weir,https://images.gr-assets.com/books/1413706054m/18007564.jpg,book
The Pillars of the Earth,Ken Follett,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,https://images.gr-assets.com/books/1327861115m/8664353.jpg,book
Deception Point,Dan Brown,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
The Goldfinch,Donna Tartt,https://images.gr-assets.com/books/1451554970m/17333223.jpg,book
Thirteen Reasons Why,Jay Asher,https://images.gr-assets.com/books/1333822506m/1217100.jpg,book
Girl with a Pearl Earring,Tracy Chevalier,https://images.gr-assets.com/books/1327197580m/2865.jpg,book
If I Stay,Gayle Forman,https://images.gr-assets.com/books/1347462970m/4374400.jpg,book
The Red Tent,Anita Diamant,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
The Sea of Monsters,Rick Riordan,https://images.gr-assets.com/books/1400602661m/28186.jpg,book
Dear John,Nicholas Sparks,https://images.gr-assets.com/books/1397749854m/5526.jpg,book
City of Ashes,Cassandra Clare,https://images.gr-assets.com/books/1432730356m/1582996.jpg,book
The Tragedy of Macbeth,William Shakespeare,https://images.gr-assets.com/books/1459795224m/8852.jpg,book
The Two Towers,J.R.R. Tolkien,https://images.gr-assets.com/books/1298415523m/15241.jpg,book
Something Borrowed,Emily Giffin,https://images.gr-assets.com/books/1305063535m/42156.jpg,book
Green Eggs and Ham,"Dr. Seuss, לאה נאור",https://images.gr-assets.com/books/1468680100m/23772.jpg,book
Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake",https://images.gr-assets.com/books/1309211401m/6310.jpg,book
The Battle of the Labyrinth,Rick Riordan,https://images.gr-assets.com/books/1443142158m/2120932.jpg,book
Great Expectations,Charles Dickens,https://images.gr-assets.com/books/1327920219m/2623.jpg,book
The Return of the King,J.R.R. Tolkien,https://images.gr-assets.com/books/1389977161m/18512.jpg,book
L’Étranger,"Albert Camus, Matthew    Ward",https://images.gr-assets.com/books/1349927872m/49552.jpg,book
The Lost Hero,Rick Riordan,https://images.gr-assets.com/books/1464201003m/7736182.jpg,book
Eleanor & Park,Rainbow Rowell,https://images.gr-assets.com/books/1341952742m/15745753.jpg,book
A Feast for Crows,George R.R. Martin,https://images.gr-assets.com/books/1429538615m/13497.jpg,book
Matched,Ally Condie,https://images.gr-assets.com/books/1367706191m/7735333.jpg,book
American Gods,Neil Gaiman,https://images.gr-assets.com/books/1258417001m/4407.jpg,book
The Stand,"Stephen King, Bernie Wrightson",https://images.gr-assets.com/books/1213131305m/149267.jpg,book
The Last Song,Nicholas Sparks,https://images.gr-assets.com/books/1286549186m/6400090.jpg,book
Digital Fortress,Dan Brown,https://images.gr-assets.com/books/1360095966m/11125.jpg,book
Emma,"Jane Austen, Fiona Stafford",https://images.gr-assets.com/books/1373627931m/6969.jpg,book
Анна Каренина,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",https://images.gr-assets.com/books/1352422904m/15823480.jpg,book
A Clockwork Orange,Anthony Burgess,https://images.gr-assets.com/books/1348339306m/227463.jpg,book
The Shack: Where Tragedy Confronts Eternity,William Paul Young,https://images.gr-assets.com/books/1344270232m/1812457.jpg,book
The Last Olympian,Rick Riordan,https://images.gr-assets.com/books/1327924597m/4502507.jpg,book
It,Stephen King,https://images.gr-assets.com/books/1309376909m/18342.jpg,book
Преступление и наказание,"Fyodor Dostoyevsky, David McDuff",https://images.gr-assets.com/books/1382846449m/7144.jpg,book
The Bell Jar,Sylvia Plath,https://images.gr-assets.com/books/1473890514m/6514.jpg,book
Angela's Ashes: A Memoir,Frank McCourt,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Siddhartha,"Hermann Hesse, Hilda Rosner",https://images.gr-assets.com/books/1428715580m/52036.jpg,book
In Cold Blood,Truman Capote,https://images.gr-assets.com/books/1424931136m/168642.jpg,book
Beautiful Creatures,"Kami Garcia, Margaret Stohl",https://images.gr-assets.com/books/1327873282m/6304335.jpg,book
Clockwork Angel,Cassandra Clare,https://images.gr-assets.com/books/1454962884m/7171637.jpg,book
Matilda,"Roald Dahl, Quentin Blake",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
The Night Circus,Erin Morgenstern,https://images.gr-assets.com/books/1387124618m/9361589.jpg,book
The Other Boleyn Girl,Philippa Gregory,https://images.gr-assets.com/books/1355932638m/37470.jpg,book
Uglies,Scott Westerfeld,https://images.gr-assets.com/books/1443904172m/24770.jpg,book
A Dance with Dragons,George R.R. Martin,https://images.gr-assets.com/books/1327885335m/10664113.jpg,book
The Lord of the Rings,J.R.R. Tolkien,https://images.gr-assets.com/books/1411114164m/33.jpg,book
Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed,https://images.gr-assets.com/books/1453189881m/12262741.jpg,book
Watchmen,"Alan Moore, Dave Gibbons, John Higgins",https://images.gr-assets.com/books/1442239711m/472331.jpg,book
The Name of the Wind,Patrick Rothfuss,https://images.gr-assets.com/books/1472068073m/186074.jpg,book
Outliers: The Story of Success,Malcolm Gladwell,https://images.gr-assets.com/books/1344266315m/3228917.jpg,book
"Moby Dick; or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",https://images.gr-assets.com/books/1327940656m/153747.jpg,book
The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",https://images.gr-assets.com/books/1351979318m/2728527.jpg,book
Fight Club,Chuck Palahniuk,https://images.gr-assets.com/books/1357128997m/5759.jpg,book
Dead Until Dark,Charlaine Harris,https://images.gr-assets.com/books/1468560853m/301082.jpg,book
The Color Purple,Alice Walker,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Marley & Me: Life and Love with the World's Worst Dog,John Grogan,https://images.gr-assets.com/books/1308858322m/12691.jpg,book
Ten Little Niggers,Agatha Christie,https://images.gr-assets.com/books/1391120695m/16299.jpg,book
The Lost Symbol,Dan Brown,https://images.gr-assets.com/books/1358274396m/6411961.jpg,book
"Hush, Hush",Becca Fitzpatrick,https://images.gr-assets.com/books/1358261334m/6339664.jpg,book
Beautiful Disaster,Jamie McGuire,https://images.gr-assets.com/books/1358259032m/11505797.jpg,book
A Christmas Carol,Charles Dickens,https://images.gr-assets.com/books/1406512317m/5326.jpg,book
Interview with the Vampire,Anne Rice,https://images.gr-assets.com/books/1380631642m/43763.jpg,book
The Selection,Kiera Cass,https://images.gr-assets.com/books/1322103400m/10507293.jpg,book
One for the Money,Janet Evanovich,https://images.gr-assets.com/books/1316730230m/6853.jpg,book
The Immortal Life of Henrietta Lacks,Rebecca Skloot,https://images.gr-assets.com/books/1327878144m/6493208.jpg,book
The Silence of the Lambs,Thomas Harris,https://images.gr-assets.com/books/1390426249m/23807.jpg,book
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Atonement,Ian McEwan,https://images.gr-assets.com/books/1320449708m/6867.jpg,book
Die Verwandlung,"Franz Kafka, Stanley Corngold",https://images.gr-assets.com/books/1359061917m/485894.jpg,book
The Titan's Curse,Rick Riordan,https://images.gr-assets.com/books/1361038385m/561456.jpg,book
The Art of Racing in the Rain,Garth Stein,https://images.gr-assets.com/books/1377206302m/3153910.jpg,book
"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","Erik Larson, Tony Goldwyn",https://images.gr-assets.com/books/1312066724m/21996.jpg,book
Bared to You,Sylvia Day,https://images.gr-assets.com/books/1477803272m/13572249.jpg,book
The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes",https://images.gr-assets.com/books/1449868701m/11127.jpg,book
Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,https://images.gr-assets.com/books/1352539022m/3609760.jpg,book
"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
The Bourne Identity,Robert Ludlum,https://images.gr-assets.com/books/1335860740m/7869.jpg,book
Artemis Fowl,Eoin Colfer,https://images.gr-assets.com/books/1327945104m/249747.jpg,book
Fallen,Lauren Kate,https://images.gr-assets.com/books/1440619649m/6487308.jpg,book
East of Eden  ,John Steinbeck,https://images.gr-assets.com/books/1441547516m/4406.jpg,book
Dark Places,Gillian Flynn,https://images.gr-assets.com/books/1354988288m/5886881.jpg,book
The Client,John Grisham,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
The Nanny Diaries,"Emma McLaughlin, Nicola Kraus",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Alice's Adventures in Wonderland,"Lewis Carroll, John Tenniel, Martin Gardner",https://images.gr-assets.com/books/1327872220m/24213.jpg,book
Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Elle s'appelait Sarah,Tatiana de Rosnay,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
The Gunslinger,Stephen King,https://images.gr-assets.com/books/1375776480m/43615.jpg,book
El amor en los tiempos del cólera,"Gabriel García Márquez, Edith Grossman",https://images.gr-assets.com/books/1327124987m/9712.jpg,book
Speak,Laurie Halse Anderson,https://images.gr-assets.com/books/1310121762m/439288.jpg,book
The Husband's Secret ,Liane Moriarty,https://images.gr-assets.com/books/1460577225m/17802724.jpg,book
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,https://images.gr-assets.com/books/1463384482m/1898.jpg,book
Carrie,Stephen King,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Running with Scissors,Augusten Burroughs,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
World War Z: An Oral History of the Zombie War,Max Brooks,https://images.gr-assets.com/books/1386328204m/8908.jpg,book
Inferno,Dan Brown,https://images.gr-assets.com/books/1397093185m/17212231.jpg,book
Number the Stars,Lois Lowry,https://images.gr-assets.com/books/1370917812m/47281.jpg,book
Along Came a Spider,James Patterson,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
Misery,Stephen King,https://images.gr-assets.com/books/1270545451m/10614.jpg,book
Sharp Objects,Gillian Flynn,https://images.gr-assets.com/books/1423241485m/66559.jpg,book
Bridge to Terabithia,Katherine Paterson,https://images.gr-assets.com/books/1327880087m/2839.jpg,book
Marked,"P.C. Cast, Kristin Cast",https://images.gr-assets.com/books/1317067002m/30183.jpg,book
The 7 Habits of Highly Effective People,Stephen R. Covey,https://images.gr-assets.com/books/1421842784m/36072.jpg,book
A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",https://images.gr-assets.com/books/1327874534m/1622.jpg,book
Extremely Loud and Incredibly Close,Jonathan Safran Foer,https://images.gr-assets.com/books/1327879967m/4588.jpg,book
Wonder,R.J. Palacio,https://images.gr-assets.com/books/1309285027m/11387515.jpg,book
The Cat in the Hat,Dr. Seuss,https://images.gr-assets.com/books/1468890477m/233093.jpg,book
Cinder,Marissa Meyer,https://images.gr-assets.com/books/1470056948m/11235712.jpg,book
The Cuckoo's Calling,"Robert Galbraith, J.K. Rowling",https://images.gr-assets.com/books/1358716559m/16160797.jpg,book
Shiver,Maggie Stiefvater,https://images.gr-assets.com/books/1409283154m/6068551.jpg,book
Atlas Shrugged,"Ayn Rand, Leonard Peikoff",https://images.gr-assets.com/books/1405868167m/662.jpg,book
Three Cups of Tea ,"Greg Mortenson, David Oliver Relin",https://images.gr-assets.com/books/1395407074m/49436.jpg,book
La sombra del viento,"Carlos Ruiz Zafón, Lucia Graves",https://images.gr-assets.com/books/1344545047m/1232.jpg,book
The Scorch Trials,James Dashner,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,book
How to Win Friends and Influence People,Dale Carnegie,https://images.gr-assets.com/books/1442726934m/4865.jpg,book
Under the Tuscan Sun,Frances Mayes,https://images.gr-assets.com/books/1320524083m/480479.jpg,book
Big Little Lies,Liane Moriarty,https://images.gr-assets.com/books/1492239430m/19486412.jpg,book
